Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué son las memorias de almacenamiento primario?";"";"";"Los dispositivos que contienen la información con la que el procesador está trabajando.";"Los dispositivos que contienen información secundaria.";"Los dispositivos que se utilizan para guardar archivos de forma permanente.";"Los dispositivos de memoria sin relación con el procesador.";"";"";"es-hardware-almacenamiento-4"
"¿Por qué las memorias de almacenamiento primario son importantes?";"";"";"Porque contienen la información con la que el procesador está trabajando.";"Porque son más lentas que las memorias secundarias.";"Porque son más baratas que las memorias secundarias.";"Porque son capaces de realizar cálculos con la información.";"";"";"es-hardware-almacenamiento-4"
"¿Qué es la memoria RAM?";"";"";"Una memoria de almacenamiento temporal para los programas y datos que maneja la CPU.";"Una memoria de almacenamiento permanente para los programas y datos que maneja la CPU.";"Una memoria que se utiliza para guardar archivos de forma permanente.";"La memoria interna de un disco duro.";"";"";"es-hardware-almacenamiento-4"
"¿Por qué la memoria RAM debe ser muy rápida?";"";"";"Para no ralentizar la velocidad de la unidad central de proceso (CPU).";"Para que la memoria tenga más capacidad de almacenamiento.";"Para que la memoria dure más tiempo.";"Para que la memoria tenga más opciones de configuración.";"";"";"es-hardware-almacenamiento-4"
"¿Cuántos gigabytes de RAM suele tener un smartphone medio de 2022?";"";"";"De 4 a 8 gigabytes.";"De 1 a 2 gigabytes.";"De 16 a 32 gigabytes.";"De 32 a 64 gigabytes.";"";"";"es-hardware-almacenamiento-4"
"¿Cuántos gigabytes de RAM suele tener un ordenador personal de 2022?";"";"";"De 8 a 16 gigabytes.";"De 4 a 8 gigabytes.";"De 16 a 32 gigabytes.";"De 32 a 64 gigabytes.";"";"";"es-hardware-almacenamiento-4"
"¿Cuál es la desventaja de la memoria RAM?";"";"";"Pierde sus datos cuando se apaga la alimentación del ordenador.";"Es muy lenta y ralentiza la velocidad de la CPU.";"Es más barata que las memorias de almacenamiento secundario.";"No tiene suficiente capacidad de almacenamiento.";"";"";"es-hardware-almacenamiento-4"
"¿Cuál es la diferencia de precio por gigabyte entre una memoria RAM y un disco duro de 2022?";"";"";"Una memoria RAM cuesta 5€/gigabyte y un disco duro cuesta 0,02€/gigabyte.";"Una memoria RAM cuesta 0,02€/gigabyte y un disco duro cuesta 5€/gigabyte.";"Ambos tienen el mismo precio de 2€/gigabyte.";"Una memoria RAM cuesta 10€/gigabyte y un disco duro cuesta 0,01€/gigabyte.";"";"";"es-hardware-almacenamiento-4"
"¿Qué es la memoria caché?";"";"";"Un tipo de memoria rápida que almacena temporalmente los contenidos leídos de la memoria RAM.";"Una memoria de almacenamiento secundario para programas y datos.";"Una memoria de acceso aleatorio que no pierde sus datos al apagar el ordenador.";"Un dispositivo de almacenamiento permanente que contiene la información con la que el procesador está trabajando.";"";"";"es-hardware-almacenamiento-4"
"¿Para qué sirve la memoria caché?";"";"";"Para reducir el tiempo de acceso a los datos y programas ubicados en la memoria RAM que se utilizan con más frecuencia.";"Para almacenar todos los programas y datos que se están ejecutando simultáneamente en el ordenador.";"Para aumentar la capacidad de almacenamiento del ordenador.";"Para almacenar los datos permanentemente aún después de apagar el ordenador.";"";"";"es-hardware-almacenamiento-4"
"¿En qué se diferencia la memoria caché de la memoria RAM?";"";"";"La memoria caché es de menor tamaño y de acceso más rápido.";"La memoria caché es más lenta que la memoria RAM.";"La memoria caché es de solo lectura, no de escritura.";"La memoria caché está fuera de la CPU mientras que la memoria RAM suele estar integrada dentro de la CPU.";"";"";"es-hardware-almacenamiento-4"
"¿Dónde suele estar integrada la memoria caché en la actualidad?";"";"";"Dentro del propio procesador.";"Dentro de la memoria RAM.";"Dentro del disco duro.";"Dentro de la placa base del ordenador.";"";"";"es-hardware-almacenamiento-4"
"¿Qué tipo de memoria almacena datos a pesar de que el ordenador no tenga alimentación?";"";"";"La memoria de almacenamiento secundario.";"La memoria de almacenamiento primario.";"La memoria caché.";"La memoria RAM.";"";"";"es-hardware-almacenamiento-4"
"¿Qué ventaja tienen los dispositivos de almacenamiento secundario respecto a los de almacenamiento primario?";"";"";"Mayor capacidad de almacenamiento y menor precio.";"Mayor velocidad de acceso.";"Menor tamaño físico.";"Mayor cercanía a la unidad central de proceso.";"";"";"es-hardware-almacenamiento-4"
"¿Qué significa ROM?";"";"";"Read Only Memory.";"Read Once Memory.";"Random Only Memory.";"Random Once Memory.";"";"";"es-hardware-almacenamiento-4"
"¿Qué tipo de programas se almacenan en la memoria ROM?";"";"";"Programas de solo lectura.";"Programas de escritura y lectura.";"Programas de borrado y lectura.";"Programas de ejecución y lectura.";"";"";"es-hardware-almacenamiento-4"
"¿Qué otro nombre se le da actualmente a las memorias ROM?";"";"";"A la memoria Flash.";"A la memoria Caché.";"A la memoria HDD.";"A la memoria SSD.";"";"";"es-hardware-almacenamiento-4"
"¿En qué se diferencia la memoria ROM de la memoria RAM?";"";"";"La ROM es de solo lectura y no pierde la información al apagar el ordenador.";"La ROM es de solo escritura y no pierde la información al apagar el ordenador.";"La RAM es de solo lectura y no pierde la información al apagar el ordenador.";"La ROM es más rápida que la RAM.";"";"";"es-hardware-almacenamiento-4"
