Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cómo están compuestos los formatos de imágenes vectoriales?";"";"";"Por vectores, que son instrucciones matemáticas.";"Por píxeles y colores.";"Por capas y filtros.";"Por líneas y formas.";"";"";"es-software-formatos-imagen-6"
"¿Qué permite hacer el formato SVG con las imágenes vectoriales?";"";"";"Escalar de manera infinita sin perder resolución o calidad.";"Comprimir mucho las imágenes para ahorrar espacio de almacenamiento.";"Añadir efectos de iluminación a las imágenes.";"Aplicar filtros de color a las imágenes.";"";"";"es-software-formatos-imagen-6"
"¿Qué significa la sigla SVG?";"";"";"Scalable Vector Graphics.";"Standard Vector Graphics.";"Scalable Visual Geometry.";"Software Vector Generator.";"";"";"es-software-formatos-imagen-6"
"¿Cuándo fue publicado el formato SVG?";"";"";"1999.";"2005.";"1995.";"1989.";"";"";"es-software-formatos-imagen-6"
"¿Cuál es una característica clave de las imágenes vectoriales en comparación con las imágenes raster?";"";"";"Se pueden escalar de manera infinita sin perder resolución o calidad.";"Tienen mayor cantidad de colores que las imágenes raster.";"Son más adecuadas para fotografías.";"Ocupan menos espacio de almacenamiento.";"";"";"es-software-formatos-imagen-6"
"¿Para qué fue creado el formato SVG?";"";"";"Para distribuir imágenes vectoriales en la web.";"Para distribuir fotografías profesionales en la web.";"Para imprimir documentos en alta resolución.";"Para crear videos en línea.";"";"";"es-software-formatos-imagen-6"
"¿Cómo se pueden manipular las imágenes SVG para crear animaciones?";"";"";"Con JavaScript.";"Con un programa de edición de imágenes rasterizadas.";"Con un lenguaje de programación propio del formato.";"Con herramientas de compresión de archivos.";"";"";"es-software-formatos-imagen-6"
"¿Qué consorcio publicó el estándar abierto del formato SVG?";"";"";"W3C (World Wide Web Consortium)";"ISO (International Organization for Standardization)";"IEEE (Institute of Electrical and Electronics Engineers)";"NATO (North Atlantic Treaty Organization)";"";"";"es-software-formatos-imagen-6"
"¿Qué significa la sigla PDF?";"";"";"Portable Document Format";"Personal Data File";"Print Document Finder";"Program Data Framework";"";"";"es-software-formatos-imagen-6"
"¿Qué empresa diseñó el estándar PDF?";"";"";"Adobe";"Microsoft";"Apple";"Google";"";"";"es-software-formatos-imagen-6"
"¿Qué tipo de documentos se pueden visualizar e imprimir fácilmente en cualquier dispositivo con el formato PDF?";"";"";"Documentos digitales de texto e imágenes.";"Imágenes rasterizadas.";"Archivos de audio.";"Archivos de video.";"";"";"es-software-formatos-imagen-6"
"¿Cómo es el formato PDF en términos de estandarización y apertura al uso libre?";"";"";"Es un formato estandarizado y abierto a que cualquiera lo utilice libremente.";"Es un formato no estándar y de uso restringido a los que compren la licencia a la empresa Adobe.";"Es un formato cerrado y exclusivo de Adobe.";"Es un estándar limitado a ciertos dispositivos.";"";"";"es-software-formatos-imagen-6"
"¿Qué tipo de contenido pueden contener los documentos en formato PDF?";"";"";"Texto, hipervínculos, gráficas, dibujos, fotografías y vídeo.";"Solo texto y gráficas.";"Solo imágenes y texto.";"Solo hipervínculos y fotografías.";"";"";"es-software-formatos-imagen-6"
"¿Cuál es una ventaja destacada del formato PDF según el texto?";"";"";"Mantiene inalterada la composición de página y permite almacenar documentos a largo plazo.";"Permite una fácil edición y modificación.";"Ocupa poco espacio de almacenamiento.";"Es exclusivo para dispositivos de Apple.";"";"";"es-software-formatos-imagen-6"
"¿Qué desventaja menciona el texto sobre la edición del formato PDF?";"";"";"Se puede editar con dificultad.";"No se puede imprimir.";"No se puede editar en dispositivos móviles.";"No se puede editar en dispositivos Apple.";"";"";"es-software-formatos-imagen-6"
"¿Qué se recomienda como precaución al utilizar el formato PDF?";"";"";"Almacenar también el archivo fuente original.";"Convertirlo a formato de imagen.";"Comprimirlo para ahorrar espacio.";"Enviar solo la versión impresa del documento..";"";"";"es-software-formatos-imagen-6"
"¿Qué son las fuentes tipográficas vectoriales según el texto?";"";"";"Conjuntos de símbolos y letras diseñados para su uso en computadoras.";"Fotografías de alta resolución.";"Archivos de audio para reproducción en línea.";"Imágenes rasterizadas para imprimir en papel.";"";"";"es-software-formatos-imagen-6"
"¿Cómo son las fuentes tipográficas vectoriales en términos de escalabilidad?";"";"";"Son fácilmente escalables, se pueden aumentar de tamaño sin perder calidad";"Son fácilmente escalables, pero pierden calidad al aumentar su tamaño.";"No son escalables, mantienen un tamaño fijo para no perder calidad.";"Solo son escalables en dispositivos Apple.";"";"";"es-software-formatos-imagen-6"
"¿Cuál es uno de los formatos más utilizados hoy en día para definir fuentes tipográficas?";"";"";"TrueType Font (TTF)";"OpenType Font (OTF)";"SVG";"GIF";"";"";"es-software-formatos-imagen-6"
"¿Quiénes desarrollaron el formato TrueType (TTF)?";"";"";"Apple y Microsoft";"Adobe y Apple";"Microsoft y Adobe";"Google y IBM";"";"";"es-software-formatos-imagen-6"
"¿En qué década fue desarrollado el formato TrueType (TTF)?";"";"";"A finales de la década de 1980";"A principios de la década de 1990";"En la década de 2000";"En la década de 1970";"";"";"es-software-formatos-imagen-6"
"¿Cómo se define el formato PostScript (PS)?";"";"";"Lenguaje desarrollado por Adobe para la impresión con impresoras de alta calidad.";"Formato de imagen utilizado en pantallas de computadoras de alta calidad.";"Tipo de letra utilizado en dispositivos Apple.";"Formato para la creación de gráficos en 3D.";"";"";"es-software-formatos-imagen-6"
"¿Cuál es una característica clave del formato PostScript (PS)?";"";"";"Permite definir tipos de letra y tiene muchas más aplicaciones.";"Es exclusivo para impresoras de baja calidad.";"Es incompatible con sistemas operativos modernos.";"Se utiliza solo en dispositivos Windows.";"";"";"es-software-formatos-imagen-6"
"¿Cuándo fue desarrollado el formato OpenType (OTF)?";"";"";"En 1996.";"En la década de 1980.";"En 2000.";"En la década de 1970.";"";"";"es-software-formatos-imagen-6"
