Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es un monitor de ordenador?";"";"";"Un dispositivo de salida para mostrar información al usuario.";"Un dispositivo de entrada para recibir información del usuario.";"Un dispositivo que almacena información en el ordenador.";"Un dispositivo que procesa información en el ordenador.";"";"";"es-hardware-perifericos-4"
"¿Qué tecnología predomina actualmente en los monitores de ordenador?";"";"";"Pantallas planas de cristal líquido (LCD).";"Monitores CRT.";"Pantallas de plasma.";"Pantallas OLED o AMOLED.";"";"";"es-hardware-perifericos-4"
"¿Cómo se mide el tamaño de un monitor?";"";"";"En pulgadas de la diagonal de la pantalla visualizadora.";"En centímetros de la diagonal de la pantalla visualizadora.";"En pulgadas de la diagonal total del monitor.";"En centímetros de la diagonal total del monitor.";"";"";"es-hardware-perifericos-4"
"¿Cuál es la resolución mínima que debería tener un monitor de ordenador hoy en día?";"";"";"Full HD (1920x1080 pixel).";"WXGA (1366x768 pixel).";"HD (1280x720 pixel).";"SVGA (800x600 pixel).";"";"";"es-hardware-perifericos-4"
"¿Qué es un pixel en un monitor?";"";"";"El punto más pequeño que se puede representar en un monitor.";"La unidad de medida del tamaño de un monitor.";"Un dispositivo de entrada para el monitor.";"La unidad de medida del tamaño de un monitor.";"";"";"es-hardware-perifericos-4"
"¿Puede un monitor ser considerado un periférico de entrada?";"";"";"Sí, si es táctil.";"No, nunca.";"Sí, siempre.";"Solo si se conecta a una tableta.";"";"";"es-hardware-perifericos-4"
"¿Qué es un proyector de vídeo?";"";"";"Un aparato que permite visualizar la información del ordenador para todo un auditorio.";"Un dispositivo que permite imprimir textos y gráficos en papel.";"Un periférico de entrada que permite escanear imágenes.";"Un objeto que sirve para guardar documentos digitales.";"";"";"es-hardware-perifericos-4"
"¿Cuáles son las tecnologías más usuales para imprimir en una impresora?";"";"";"Tecnología láser con tóner, tecnología de inyección de tinta y tecnología térmica.";"Tecnología de proyección, tecnología de imagen y tecnología de sonido.";"Tecnología de internet, tecnología de programación y tecnología de realidad virtual.";"Tecnología de red, tecnología de memoria y tecnología de discos duros.";"";"";"es-hardware-perifericos-4"
"¿Qué es una impresora?";"";"";"Un periférico de salida que permite imprimir textos y gráficos en papel.";"Un dispositivo que permite escanear imágenes y convertirlas en archivos digitales.";"Un objeto que sirve para guardar documentos digitales.";"Un aparato que proyecta imágenes sobre una pared o una pantalla.";"";"";"es-hardware-perifericos-4"
"¿Para qué sirve un DAC?";"";"";"Para convertir archivos digitales del ordenador en música o sonido analógico con alta fidelidad.";"Para imprimir textos y gráficos en papel de manera permanente.";"Para escanear imágenes y convertirlas en archivos digitales.";"Para proyectar imágenes sobre una pared o una pantalla.";"";"";"es-hardware-perifericos-4"
"¿Qué es el tóner?";"";"";"Un polvo fino utilizado en las impresoras de tecnología láser.";"Una tinta líquida utilizada en las impresoras de tecnología de inyección de tinta.";"Un componente utilizado en la tecnología térmica de impresoras.";"Un dispositivo utilizado en la tecnología de proyección de imágenes.";"";"";"es-hardware-perifericos-4"
"¿Cuál es la principal función del proyector de vídeo?";"";"";"Proyectar una imagen fija o en movimiento sobre una pantalla de proyección.";"Imprimir textos y gráficos en papel de manera permanente.";"Convertir archivos digitales del ordenador en música o sonido analógico con alta fidelidad.";"Escanear imágenes y convertirlas en archivos digitales.";"";"";"es-hardware-perifericos-4"
"¿Para qué sirve el amplificador de sonido en los altavoces para ordenador?";"";"";"Aumentar el nivel de la señal de salida del ordenador y producir sonidos de alto volumen.";"Ampliar el tamaño de los altavoces para mejorar la calidad del sonido.";"Conectar el ordenador a la red eléctrica y evitar cortocircuitos.";"Controlar la temperatura del ordenador y evitar sobrecalentamientos.";"";"";"es-hardware-perifericos-4"
"¿Cuántos altavoces se utilizan normalmente en los sistemas estéreo para ordenador?";"";"";"Dos altavoces, uno derecho y otro izquierdo.";"Tres altavoces, uno central y dos laterales.";"Cuatro altavoces, dos frontales y dos traseros.";"Cinco altavoces, dos frontales, dos traseros y uno central.";"";"";"es-hardware-perifericos-4"
"¿Qué son los sistemas de sonido envolvente 5.1?";"";"";"Son sistemas de sonido que utilizan cuatro altavoces y un subwoofer para crear una experiencia de sonido envolvente.";"Son sistemas de sonido que utilizan cinco altavoces y un subwoofer para crear una experiencia de sonido envolvente.";"Son sistemas de sonido que utilizan dos altavoces estéreo y un subwoofer para crear una experiencia de sonido envolvente.";"Son sistemas de sonido que utilizan un solo altavoz para crear una experiencia de sonido envolvente.";"";"";"es-hardware-perifericos-4"
"¿Para qué se utilizan los pilotos luminosos LED en el ordenador?";"";"";"Para informar de los estados del ordenador, como por ejemplo si está encendido o si se está produciendo la carga de la batería.";"Para mejorar la calidad del sonido de los altavoces.";"Para aumentar la velocidad de procesamiento del ordenador.";"Para permitir la conexión del ordenador a una red de alta velocidad.";"";"";"es-hardware-perifericos-4"
"¿Dónde suelen estar los pilotos luminosos LED en el ordenador?";"";"";"En las cajas de ordenador y los teclados.";"En los monitores y los ratones.";"En los cables de conexión y los adaptadores.";"En las tarjetas de sonido y las tarjetas gráficas.";"";"";"es-hardware-perifericos-4"
"¿Para qué se utiliza el motor de vibración en los smartphones?";"";"";"Indicar eventos de forma silenciosa.";"Reproducir música.";"Realizar llamadas.";"Sacar fotografías.";"";"";"es-hardware-perifericos-4"
"¿Qué es la línea braille?";"";"";"Un periférico de salida para personas con discapacidad visual.";"Un periférico de entrada para personas con discapacidad visual.";"Un periférico de salida para personas con discapacidad auditiva.";"Un periférico de entrada para personas con discapacidad auditiva.";"";"";"es-hardware-perifericos-4"
"¿Qué función tiene la pantalla táctil?";"";"";"Permite tanto la salida como la entrada de datos.";"Solo permite la salida de datos.";"Solo permite la entrada de datos.";"No permite ni la salida ni la entrada de datos.";"";"";"es-hardware-perifericos-4"
"¿Qué detectores tiene la pantalla táctil?";"";"";"Detectores que permiten conocer la posición del dedo.";"Detectores de movimiento.";"Detectores de sonido.";"Detectores de temperatura.";"";"";"es-hardware-perifericos-4"
"¿Qué nivel de ruido tiene el motor de vibración en los smartphones?";"";"";"Muy bajo";"Muy alto";"Medio";"Variable";"";"";"es-hardware-perifericos-4"
"¿Qué es una impresora multifunción?";"";"";"Una combinación de impresora y escáner.";"Un dispositivo que solo permite la impresión de documentos.";"Un periférico de salida que permite imprimir textos y gráficos en papel.";"Un dispositivo que solo permite la digitalización de documentos.";"";"";"es-hardware-perifericos-4"
"¿Para qué se utiliza un casco de realidad virtual?";"";"";"Para reproducir imágenes creadas por ordenador sobre una pantalla muy cercana a los ojos.";"Para aumentar el nivel de la señal de salida del ordenador y producir sonidos de alto volumen.";"Para informar de los estados del ordenador a través de pequeñas luces.";"Para convertir archivos digitales del ordenador en música o sonido analógico.";"";"";"es-hardware-perifericos-4"
"¿Qué funciones tiene una impresora multifunción?";"";"";"Impresión y escaneo.";"Impresión y reproducción de sonido.";"Escaneo y reproducción de sonido.";"Impresión y conversión de archivos digitales a analógicos.";"";"";"es-hardware-perifericos-4"
"¿Qué sensación experimenta el usuario al utilizar un casco de realidad virtual?";"";"";"Encontrarse inmerso en la realidad virtual que muestra el dispositivo.";"Experimentar un evento de forma silenciosa gracias al motor de vibración.";"Ver información del ordenador proyectada sobre una pared o pantalla de proyección.";"Imprimir textos y gráficos en papel de manera permanente.";"";"";"es-hardware-perifericos-4"
"¿Qué característica tiene el sonido que se reproduce en un casco de realidad virtual?";"";"";"Estéreo.";"Monoaural.";"De alta fidelidad.";"De baja calidad.";"";"";"es-hardware-perifericos-4"
"¿Cómo se acompasan las imágenes presentadas por un casco de realidad virtual a los movimientos de cabeza del usuario?";"";"";"Gracias a los sensores de posición y movimiento que tiene el dispositivo.";"Mediante el uso de un amplificador de sonido.";"A través de un motor de vibración.";"Con una línea braille.";"";"";"es-hardware-perifericos-4"
"¿Qué tipo de periférico de salida es una línea braille?";"";"";"Transforma texto del ordenador en una serie de puntos braille para que las personas con discapacidad visual puedan leer en ella.";"Permite convertir los archivos digitales del ordenador en música o sonido analógico.";"Proyecta una imagen fija o en movimiento sobre una pared o una pantalla de proyección.";"Informa de los estados del ordenador a través de pequeñas luces.";"";"";"es-hardware-perifericos-4"
"¿Cuál es la función principal de la tarjeta de sonido?";"";"";"Transformar señales analógicas en señales digitales y viceversa.";"Procesar señales digitales para que el ordenador reproduzca sonidos.";"Aumentar el nivel de la señal de salida del ordenador.";"Amplificar y enviar señales analógicas a unos altavoces.";"";"";"es-hardware-perifericos-4"
"¿Qué función tiene el ADC en la tarjeta de sonido?";"";"";"Transformar señales analógicas en señales digitales.";"Amplificar señales analógicas.";"Procesar señales digitales.";"Transformar señales digitales en señales analógicas.";"";"";"es-hardware-perifericos-4"
"¿Qué función tiene el DAC en la tarjeta de sonido?";"";"";"Convertir señales digitales a señales analógicas.";"Procesar señales analógicas.";"Transformar señales digitales en señales analógicas.";"Amplificar señales analógicas.";"";"";"es-hardware-perifericos-4"
